Image ID,Image name,Experiment Tag,circle ratio,x pixel,y pixel,xScale,yScale,computation time,Skeleton Vertices,DIA_STM,AREA,AVG_DENSITY,TD_MED,TD_AVG,RTP_COUNT,ADVT_COUNT,BASAL_COUNT,HYP_DIA,TAP_DIA
470243,DSC_0729.JPG,53_40_4,0.005050505,197,198,0.12893401,0.128282828,371,31624,12.0666,5507.07,2.29954,0.305884,0.339067,179,16,14,1.5094,1.18009
470240,DSC_0732.JPG,52_40_13,0.005050505,197,198,0.12893401,0.128282828,301,24670,10.9575,2937.59,0.670292,0.305884,0.304422,166,8,18,1.20582,0.853436
470230,DSC_0742.JPG,52_40_12,0.005050505,197,198,0.12893401,0.128282828,219,9852,11.0297,1458.9,0.961158,0.305884,0.312773,70,15,4,1.28593,0.901872
470224,DSC_0748.JPG,51_40_5,0.005050505,197,198,0.12893401,0.128282828,275,26985,10.7414,3018.7,1.31983,0.305884,0.310923,129,6,21,1.16633,0.774027
470222,DSC_0750.JPG,57_40_12,0.005050505,197,198,0.12893401,0.128282828,191,13477,11.0771,1978.29,1.18755,0.305884,0.330786,70,8,13,1.3111,0.835965
470201,DSC_0777.JPG,57_40_15,0.005050505,197,198,0.12893401,0.128282828,248,19141,10.9054,2480.66,1.37888,0.305884,0.302585,94,18,8,1.24209,0.626515
470188,DSC_0790.JPG,53_40_8,0.005050505,197,198,0.12893401,0.128282828,255,23746,12.0092,3234.5,1.84101,0.305884,0.299609,129,9,16,1.47171,0.850912
470178,DSC_0800.JPG,58_40_2,0.005050505,197,198,0.12893401,0.128282828,304,31667,10.9817,3153.59,1.38497,0.305884,0.304412,204,12,24,1.38061,0.811296
469930,DSC_0918.JPG,28_55_4,0.005050505,197,198,0.12893401,0.128282828,300,26792,11.3137,2989.38,1.27694,0.305884,0.305143,189,14,34,1.0946,0.69682
469921,DSC_0927.JPG,28_55_14,0.005050505,197,198,0.12893401,0.128282828,227,11825,10.4489,1339.77,0.684926,0.305884,0.30692,110,5,18,1.21209,0.649775
469918,DSC_0930.JPG,40_55_15,0.005050505,197,198,0.12893401,0.128282828,353,28658,11.7245,3581.41,1.07121,0.305884,0.311544,180,7,18,1.32327,0.771487
469863,DSC_0985.JPG,27_55_9,0.005050505,197,198,0.12893401,0.128282828,244,23894,9.71614,2897.02,1.52514,0.305884,0.314232,127,6,14,1.21985,0.949369
469862,DSC_0986.JPG,28_55_15,0.005050505,197,198,0.12893401,0.128282828,279,22473,9.83601,2548.16,0.671934,0.305884,0.31772,158,8,11,1.25421,0.592296
469860,DSC_0988.JPG,26_55_9,0.005050505,197,198,0.12893401,0.128282828,328,28823,10.0634,3084.15,1.39684,0.305884,0.298221,182,11,15,1.25547,0.787392
469598,DSC_1013.JPG,31_55_8,0.005050505,197,198,0.12893401,0.128282828,270,23555,10.532,2834.26,0.890211,0.305884,0.302915,156,9,18,1.3743,0.731543
469589,DSC_1023.JPG,40_55_4,0.005050505,197,198,0.12893401,0.128282828,229,16667,9.80221,1853.59,1.7116,0.305884,0.297561,106,12,10,1.22413,0.895512
469575,DSC_1042.JPG,31_55_5,0.005050505,197,198,0.12893401,0.128282828,256,24229,10.6697,2464.07,1.01393,0.305884,0.298508,151,10,29,1.18539,0.635407
469570,DSC_1048.JPG,31_55_2,0.005050505,197,198,0.12893401,0.128282828,379,34188,10.4313,3230.96,0.816805,0.305884,0.301529,206,14,18,1.28859,0.641964
469568,DSC_1050.JPG,40_55_16,0.005050505,197,198,0.12893401,0.128282828,257,23225,9.60974,2451.89,1.5435,0.305884,0.305658,129,11,16,1.21585,0.636623
469559,DSC_1060.JPG,31_55_3,0.005050505,197,198,0.12893401,0.128282828,316,26694,10,2501.64,1.93914,0.305884,0.296726,164,8,29,1.22898,0.666832
470270,DSC_0693.JPG,37_55_3,0,197,197,0.12893401,0.12893401,352,33299,9.70303,3436.58,1.04537,0.306658,0.314704,206,15,17,1.16308,0.706947
470251,DSC_0718.JPG,41_55_1,0,197,197,0.12893401,0.12893401,440,34791,10.2318,3814.82,0.894747,0.306658,0.310659,242,13,35,1.29193,0.730794
470247,DSC_0722.JPG,37_55_7,0,197,197,0.12893401,0.12893401,411,37896,11.3137,4465.23,1.51291,0.306658,0.304921,222,6,26,1.30222,0.850349
470246,DSC_0723.JPG,52_40_16,0,197,197,0.12893401,0.12893401,311,20948,10.799,3062.75,0.741254,0.306658,0.323446,135,11,26,1.24215,0.750905
