plot ID,dry weight 1 shoot plus bag
115.48.4,25.39
50.40.12,20.04
33.34.8,32.09
36.34.1,21.78
28.34.7,19.01
20.34.14,24.41
35.34.7,22.47
79.54.4,18.69
86.50.3,13.08
110.48.15,24.33
86.50.5,20.95
118.48.6,19.79
111.48.5,17.68
116.48.10,27.2
114.48.9,23.25
33.34.1,24.46
60.40.2,20.39
74.54.12,24
114.52.14,16.93
20.34.5,32.94
34.55.10,15.55
110.52.2,19.62
119.48.16,17.37
74.50.9,21.78
65.54.7,25.59
88.50.5,19.18
41.24.8,36.98
33.55.7,13.85
63.54.12,17.92
113.48.15,16.73
54.40.5,20.93
116.48.16,32.18
50.40.15,17.36
30.34.14,28.22
79.54.15,24.11
74.50.4,19.43
56.40.11,21.1
115.48.9,24.75
64.54.11,19.87
116.52.8,14.64
26.55.5,14.08
23.51.4,24.97
117.48.3,23.99
111.48.14,20.96
56.40.13,14.69
16.34.6,26.66
36.34.13,13.75
23.55.1,21.91
67.54.8,22.32
73.50.8,16.37
42.51.7,20.41
39.55.1,22.4
17.34.2,36.5
75.50.2,16.3
26.34.6,18.36
25.51.7,18.08
29.34.5,24.52
114.52.7,12.33
80.50.4,22
23.51.11,20.33
39.55.14,16.51
131.52.1,17.28
68.54.5,16.81
28.34.5,16.85
54.40.8,17.01
129.52.1,15.18
113.48.6,26.54
18.34.8,25.59
80.50.5,21.48
33.34.13,23.35
28.55.8,16.05
19.51.16,14.79
56.40.4,14.99
78.54.16,27.48
34.34.3,31.7
41.51.1,17.12
42.24.3,21.81
